Candidate Number,Candidate,Coalition,Party,Twitter - Number of Mentions,Twitter - Number of Users,Twitter- Total Favorites,Twitter - Total Retweets,Twitter - Total Replies,Twitter - Percent News,Twitter - Percent Non-news,Facebook - Number of Candidate Posts,Facebook - Total Comments,Facebook - Total Shares,Facebook - Total Reactions,Political Party,Win,Cash Contributions Received from Other Sources,In-Kind Contributions Received from Other Sources,Cash Contributions Received from Political Party,In-Kind Contributions Received from Political Party,Total Contributions Received,Expenditures Paid Out of Personal Funds,Expenditures Paid Out of Cash Contributions,Expenditures Incurred Using In-Kind Contribution,Total Expenditures Incurred,Difference (Contribution less Expenditure),Unpaid Obligation / Balance,Travel Expenses,"Compensation of campaigners, etc.",Communications,"Stationery, Printing, and Distribution",Employment of Poll Watchers,"Rent, Maintenance, etc.",Political Meetings and Rallies,Pol Ads,Total SLE,Employment of Counsel,Copying and Classifying List of Voters,Printing of Sample Ballots,Total Expenditures,Difference Total in SCE minus Total SLE
47,Nancy Binay,UNA,UNA,2467.0,1700.0,16335.0,2665.0,1948.0,0.06,0.94,38.0,1031.0,123718.0,2797064.0,UNA,1.0,59470000.0,0.0,0.0,0.0,59470000.0,0.0,56785472.82,0.0,56785472.82,2684527.18,0.0,588104.7,0.0,25701.48,1128087.5,0.0,25027.0,898093.46,54120458.68,56785472.82,0.0,0.0,0.0,56785472.82,0.0
48,Neri Colmenares,Labor Win,Makabayan,4840.0,2371.0,235784.0,53719.0,3164.0,0.04,0.96,53.0,969.0,235310724.0,7717813.0,Makabayan,0.0,3370000.0,0.0,500000.0,0.0,3870000.0,0.0,3775648.53,0.0,3775648.53,94351.47,0.0,283636.14,0.0,185214.69,1503230.0,0.0,0.0,0.0,1803567.7,3775648.53,0.0,0.0,0.0,3775648.53,0.0
49,Pia Cayetano,HNP,Nacionalista,2493.0,1625.0,39613.0,8850.0,2448.0,0.04,0.96,28.0,2611.0,56779700.0,5281970.0,Nacionalista Party,1.0,67500000.0,7700000.0,0.0,0.0,75200000.0,659188.39,65355010.16,7700000.0,73714198.55,1485801.45,0.0,3492491.65,1742663.08,0.0,4783700.0,0.0,47368.42,0.0,63647975.4,73714198.55,0.0,0.0,0.0,73714198.55,0.0
50,Pilo Hilbay,Otso Diretso,Aksyon,1850.0,1173.0,103519.0,27877.0,3657.0,0.03,0.97,54.0,4269.0,4102641.0,17510089.0,Liberal Party,0.0,2379000.0,413508.0,0.0,0.0,2792508.0,181878.62,2379000.0,413508.0,2974386.62,-181878.62,0.0,823132.88,0.0,31319.5,1293440.0,0.0,234985.27,0.0,411508.97,2794386.62,0.0,0.0,0.0,2794386.62,180000.0
51,Raffy Alunan,,Bagumbayan,1861.0,709.0,10398.0,2255.0,1190.0,0.01,0.99,255.0,5270.0,3956025.0,39904114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Richard Alfajora,KKK,Independent,56.0,24.0,132.0,53.0,37.0,0.0,1.0,40.0,41.0,59.0,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,RJ Javellana,KDP,KDP,183.0,69.0,443.0,109.0,89.0,0.27,0.73,45.0,88.0,881.0,2795.0,Katipunan ,0.0,0.0,66050.0,0.0,0.0,66050.0,28855.85,0.0,0.0,28855.85,37194.15,0.0,5034.2,815.2,1800.0,67090.0,0.0,20166.3,0.0,0.0,94905.7,0.0,0.0,0.0,94905.7,-66049.85
54,Romy Macalintal,Otso Diretso,Independent,958.0,560.0,48637.0,18006.0,1641.0,0.08,0.92,142.0,361.0,199060.0,37960.0,Independent,0.0,0.0,0.0,0.0,0.0,0.0,8541839.31,0.0,0.0,8541839.31,-8541839.31,0.0,773844.82,62230.0,57802.24,899153.75,0.0,75000.0,8300.0,6665508.5,8541839.31,0.0,0.0,0.0,8541839.31,0.0
55,Samira Gutoc,Otso Diretso,Liberal,23354.0,9281.0,553773.0,133309.0,15660.0,0.01,0.99,70.0,1485.0,15110808.0,1100633.0,Liberal Party,0.0,3200000.0,0.0,0.0,0.0,3200000.0,67212.82,3200000.0,0.0,3267212.82,-67212.82,0.0,97142.68,12420.0,20638.99,523820.0,0.0,81929.0,0.0,2531261.87,3267212.54,0.0,0.0,0.0,3267212.54,0.28
56,Serge Osmeña,,Independent,931.0,640.0,6817.0,1337.0,645.0,0.04,0.96,2.0,82.0,6654.0,10730.0,Independent,0.0,97500000.0,0.0,0.0,0.0,97500000.0,8547137.33,97500000.0,0.0,106047137.33,-8547137.33,0.0,30631.03,710866.67,74679.21,2100618.0,0.0,0.0,0.0,103130342.42,106047137.33,0.0,0.0,0.0,106047137.33,0.0
57,Shariff Albani,WPP,WPP,119.0,45.0,317.0,122.0,67.0,0.24,0.76,94.0,186.0,51597.0,11338.0,Labor Party Philippines,0.0,400000.0,104978.0,0.0,0.0,504978.0,735628.0,0.0,0.0,735628.0,-230650.0,0.0,400000.0,0.0,0.0,335628.0,0.0,0.0,0.0,0.0,735628.0,0.0,0.0,0.0,735628.0,0.0
58,Sonny Angara,HNP,LDP,21352.0,5704.0,127505.0,24801.0,13976.0,0.01,0.99,55.0,1967.0,7753745.0,11237546.0,Laban ng Demokratikong Pilipino,1.0,0.0,0.0,0.0,153341072.41,153341072.41,314113.43,0.0,153341072.41,153655185.84,-314113.43,0.0,314113.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314113.43,0.0,0.0,0.0,314113.43,153341072.41
59,Sonny Matula,"Labor Win, WPP",WPP,421.0,172.0,4040.0,997.0,260.0,0.17,0.83,55.0,134.0,49055.0,218587.0,Workers and Peasants Party,0.0,102000.0,218441.91,0.0,0.0,320441.91,0.0,0.0,0.0,0.0,320441.91,0.0,70774.95,0.0,38673.0,140750.0,0.0,0.0,13446.73,236589.7,500234.38,0.0,0.0,0.0,500234.38,-500234.38
60,Toti Casino,KDP,KDP,835.0,307.0,3034.0,761.0,516.0,0.05,0.95,37.0,1011.0,3445869.0,665385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Vangie Abejo,KKK,Independent,13.0,13.0,118.0,102.0,7.0,0.0,1.0,21.0,22.0,84.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
